County,State,Category Type,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
Kentucky,Kentucky,Male,"2,233,158","133,686","141,927","147,226","151,001","152,954","150,527","149,679","140,580","144,368","136,935","144,798","137,520","148,195","124,589","100,004","65,345","37,242","26,582","289,153","90,120","512,959","213,835","889,109","1,779,867","1,720,199","1,626,396","501,957","443,779","353,762","129,169"
Kentucky,Kentucky,Percent Male,(X),6.00%,6.40%,6.60%,6.80%,6.80%,6.70%,6.70%,6.30%,6.50%,6.10%,6.50%,6.20%,6.60%,5.60%,4.50%,2.90%,1.70%,1.20%,12.90%,4.00%,23.00%,9.60%,39.80%,79.70%,77.00%,72.80%,22.50%,19.90%,15.80%,5.80%
Kentucky,Kentucky,Female,"2,279,152","126,747","139,168","136,827","142,873","148,402","140,303","146,650","139,112","145,263","133,284","142,576","142,032","158,564","140,457","112,756","83,881","49,492","50,765","275,995","89,179","491,921","202,096","862,603","1,846,644","1,787,231","1,705,825","595,915","531,466","437,351","184,138"
Kentucky,Kentucky,Percent Female,(X),5.60%,6.10%,6.00%,6.30%,6.50%,6.20%,6.40%,6.10%,6.40%,5.80%,6.30%,6.20%,7.00%,6.20%,4.90%,3.70%,2.20%,2.20%,12.10%,3.90%,21.60%,8.90%,37.80%,81.00%,78.40%,74.80%,26.10%,23.30%,19.20%,8.10%
Boone County,Kentucky,Total,"139,093","8,904","11,144","8,476","9,770","8,380","8,163","8,904","9,907","9,210","9,333","8,802","9,094","8,038","6,032","6,619","4,249","3,162",906,"19,620","6,437","34,961","11,713","54,334","108,004","104,132","99,606","29,006","25,525","20,968","8,317"
Boone County,Kentucky,Percent,(X),6.40%,8.00%,6.10%,7.00%,6.00%,5.90%,6.40%,7.10%,6.60%,6.70%,6.30%,6.50%,5.80%,4.30%,4.80%,3.10%,2.30%,0.70%,14.10%,4.60%,25.10%,8.40%,39.10%,77.60%,74.90%,71.60%,20.90%,18.40%,15.10%,6.00%
Boone County,Kentucky,Male,"68,715","4,699","6,176","3,187","5,205","4,160","4,463","4,241","5,244","4,393","4,586","4,533","4,089","4,352","3,064","2,896","1,778","1,165",484,"9,363","3,181","17,243","6,184","27,706","53,709","51,472","48,912","13,739","11,969","9,387","3,427"
Boone County,Kentucky,Percent Male,(X),6.80%,9.00%,4.60%,7.60%,6.10%,6.50%,6.20%,7.60%,6.40%,6.70%,6.60%,6.00%,6.30%,4.50%,4.20%,2.60%,1.70%,0.70%,13.60%,4.60%,25.10%,9.00%,40.30%,78.20%,74.90%,71.20%,20.00%,17.40%,13.70%,5.00%
Boone County,Kentucky,Female,"70,378","4,205","4,968","5,289","4,565","4,220","3,700","4,663","4,663","4,817","4,747","4,269","5,005","3,686","2,968","3,723","2,471","1,997",422,"10,257","3,256","17,718","5,529","26,628","54,295","52,660","50,694","15,267","13,556","11,581","4,890"
Boone County,Kentucky,Percent Female,(X),6.00%,7.10%,7.50%,6.50%,6.00%,5.30%,6.60%,6.60%,6.80%,6.70%,6.10%,7.10%,5.20%,4.20%,5.30%,3.50%,2.80%,0.60%,14.60%,4.60%,25.20%,7.90%,37.80%,77.10%,74.80%,72.00%,21.70%,19.30%,16.50%,6.90%
Bullitt County,Kentucky,Total,"83,836","3,971","5,535","4,885","4,616","4,608","4,883","5,742","5,776","5,279","5,624","6,348","6,048","5,732","5,054","3,715","2,701","1,500","1,819","10,420","3,088","17,479","6,136","30,904","68,594","66,357","63,762","20,521","17,803","14,789","6,020"
Bullitt County,Kentucky,Percent,(X),4.70%,6.60%,5.80%,5.50%,5.50%,5.80%,6.80%,6.90%,6.30%,6.70%,7.60%,7.20%,6.80%,6.00%,4.40%,3.20%,1.80%,2.20%,12.40%,3.70%,20.80%,7.30%,36.90%,81.80%,79.20%,76.10%,24.50%,21.20%,17.60%,7.20%
Bullitt County,Kentucky,Male,"41,899","2,007","3,348","2,058","2,368","2,475","2,604","2,681","2,718","3,045","2,684","3,239","3,191","2,605","2,305","1,991","1,109",630,841,"5,406","1,594","9,007","3,249","15,891","34,309","32,892","31,620","9,481","8,297","6,876","2,580"
Bullitt County,Kentucky,Percent Male,(X),4.80%,8.00%,4.90%,5.70%,5.90%,6.20%,6.40%,6.50%,7.30%,6.40%,7.70%,7.60%,6.20%,5.50%,4.80%,2.60%,1.50%,2.00%,12.90%,3.80%,21.50%,7.80%,37.90%,81.90%,78.50%,75.50%,22.60%,19.80%,16.40%,6.20%
Bullitt County,Kentucky,Female,"41,937","1,964","2,187","2,827","2,248","2,133","2,279","3,061","3,058","2,234","2,940","3,109","2,857","3,127","2,749","1,724","1,592",870,978,"5,014","1,494","8,472","2,887","15,013","34,285","33,465","32,142","11,040","9,506","7,913","3,440"
Bullitt County,Kentucky,Percent Female,(X),4.70%,5.20%,6.70%,5.40%,5.10%,5.40%,7.30%,7.30%,5.30%,7.00%,7.40%,6.80%,7.50%,6.60%,4.10%,3.80%,2.10%,2.30%,12.00%,3.60%,20.20%,6.90%,35.80%,81.80%,79.80%,76.60%,26.30%,22.70%,18.90%,8.20%
Campbell County,Kentucky,Total,"93,300","4,887","6,443","4,471","4,975","6,216","7,007","7,251","5,648","6,451","5,114","5,867","5,717","7,074","5,784","4,139","2,531","1,810","1,915","10,914","3,194","18,995","7,997","37,548","76,397","74,305","71,171","23,253","20,780","16,179","6,256"
Campbell County,Kentucky,Percent,(X),5.20%,6.90%,4.80%,5.30%,6.70%,7.50%,7.80%,6.10%,6.90%,5.50%,6.30%,6.10%,7.60%,6.20%,4.40%,2.70%,1.90%,2.10%,11.70%,3.40%,20.40%,8.60%,40.20%,81.90%,79.60%,76.30%,24.90%,22.30%,17.30%,6.70%
Campbell County,Kentucky,Male,"46,466","2,595","3,289","2,161","2,597","3,006","3,677","3,820","2,777","3,346","2,645","3,016","3,206","2,983","2,614","2,190",867,894,783,"5,450","1,620","9,665","3,983","19,223","37,827","36,801","35,126","10,331","9,075","7,348","2,544"
Campbell County,Kentucky,Percent Male,(X),5.60%,7.10%,4.70%,5.60%,6.50%,7.90%,8.20%,6.00%,7.20%,5.70%,6.50%,6.90%,6.40%,5.60%,4.70%,1.90%,1.90%,1.70%,11.70%,3.50%,20.80%,8.60%,41.40%,81.40%,79.20%,75.60%,22.20%,19.50%,15.80%,5.50%
Campbell County,Kentucky,Female,"46,834","2,292","3,154","2,310","2,378","3,210","3,330","3,431","2,871","3,105","2,469","2,851","2,511","4,091","3,170","1,949","1,664",916,"1,132","5,464","1,574","9,330","4,014","18,325","38,570","37,504","36,045","12,922","11,705","8,831","3,712"
Campbell County,Kentucky,Percent Female,(X),4.90%,6.70%,4.90%,5.10%,6.90%,7.10%,7.30%,6.10%,6.60%,5.30%,6.10%,5.40%,8.70%,6.80%,4.20%,3.60%,2.00%,2.40%,11.70%,3.40%,19.90%,8.60%,39.10%,82.40%,80.10%,77.00%,27.60%,25.00%,18.90%,7.90%
Christian County,Kentucky,Total,"73,037","6,837","5,638","5,264","5,210","8,966","7,063","4,386","4,490","3,614","3,109","2,974","2,786","2,967","3,323","2,384","1,703",905,"1,418","10,902","2,831","20,570","11,345","33,729","54,765","52,467","48,393","12,700","11,826","9,733","4,026"
Christian County,Kentucky,Percent,(X),9.40%,7.70%,7.20%,7.10%,12.30%,9.70%,6.00%,6.10%,4.90%,4.30%,4.10%,3.80%,4.10%,4.50%,3.30%,2.30%,1.20%,1.90%,14.90%,3.90%,28.20%,15.50%,46.20%,75.00%,71.80%,66.30%,17.40%,16.20%,13.30%,5.50%
Christian County,Kentucky,Male,"37,481","3,436","2,338","2,868","3,076","6,022","3,798","2,102","1,701","2,565","1,463","1,359","1,407","1,376","1,409",990,714,344,513,"5,206","1,126","9,768","7,972","19,264","28,570","27,713","24,359","5,346","5,129","3,970","1,571"
Christian County,Kentucky,Percent Male,(X),9.20%,6.20%,7.70%,8.20%,16.10%,10.10%,5.60%,4.50%,6.80%,3.90%,3.60%,3.80%,3.70%,3.80%,2.60%,1.90%,0.90%,1.40%,13.90%,3.00%,26.10%,21.30%,51.40%,76.20%,73.90%,65.00%,14.30%,13.70%,10.60%,4.20%
Christian County,Kentucky,Female,"35,556","3,401","3,300","2,396","2,134","2,944","3,265","2,284","2,789","1,049","1,646","1,615","1,379","1,591","1,914","1,394",989,561,905,"5,696","1,705","10,802","3,373","14,465","26,195","24,754","24,034","7,354","6,697","5,763","2,455"
Christian County,Kentucky,Percent Female,(X),9.60%,9.30%,6.70%,6.00%,8.30%,9.20%,6.40%,7.80%,3.00%,4.60%,4.50%,3.90%,4.50%,5.40%,3.90%,2.80%,1.60%,2.50%,16.00%,4.80%,30.40%,9.50%,40.70%,73.70%,69.60%,67.60%,20.70%,18.80%,16.20%,6.90%
Daviess County,Kentucky,Total,"103,222","6,905","6,999","6,450","6,342","6,599","6,842","7,107","5,746","6,077","5,595","6,604","5,419","7,951","6,125","4,678","3,326","2,701","1,756","13,449","4,225","24,579","8,716","38,713","81,354","78,643","75,045","26,537","22,622","18,586","7,783"
Daviess County,Kentucky,Percent,(X),6.70%,6.80%,6.20%,6.10%,6.40%,6.60%,6.90%,5.60%,5.90%,5.40%,6.40%,5.20%,7.70%,5.90%,4.50%,3.20%,2.60%,1.70%,13.00%,4.10%,23.80%,8.40%,37.50%,78.80%,76.20%,72.70%,25.70%,21.90%,18.00%,7.50%
Daviess County,Kentucky,Male,"50,671","3,593","2,820","3,757","3,174","3,347","3,722","3,822","3,041","2,534","2,758","3,423","2,616","3,880","3,042","2,080","1,559","1,026",477,"6,577","2,142","12,312","4,379","19,640","39,627","38,359","36,267","12,064","10,205","8,184","3,062"
Daviess County,Kentucky,Percent Male,(X),7.10%,5.60%,7.40%,6.30%,6.60%,7.30%,7.50%,6.00%,5.00%,5.40%,6.80%,5.20%,7.70%,6.00%,4.10%,3.10%,2.00%,0.90%,13.00%,4.20%,24.30%,8.60%,38.80%,78.20%,75.70%,71.60%,23.80%,20.10%,16.20%,6.00%
Daviess County,Kentucky,Female,"52,551","3,312","4,179","2,693","3,168","3,252","3,120","3,285","2,705","3,543","2,837","3,181","2,803","4,071","3,083","2,598","1,767","1,675","1,279","6,872","2,083","12,267","4,337","19,073","41,727","40,284","38,778","14,473","12,417","10,402","4,721"
Daviess County,Kentucky,Percent Female,(X),6.30%,8.00%,5.10%,6.00%,6.20%,5.90%,6.30%,5.10%,6.70%,5.40%,6.10%,5.30%,7.70%,5.90%,4.90%,3.40%,3.20%,2.40%,13.10%,4.00%,23.30%,8.30%,36.30%,79.40%,76.70%,73.80%,27.50%,23.60%,19.80%,9.00%
Fayette County,Kentucky,Total,"320,347","17,696","18,158","18,427","22,178","33,794","24,451","23,044","22,731","19,486","18,190","17,914","15,466","20,030","16,017","13,190","10,413","4,669","4,493","36,585","11,029","65,310","44,943","145,684","262,702","255,037","236,935","68,812","61,901","48,782","19,575"
Fayette County,Kentucky,Percent,(X),5.50%,5.70%,5.80%,6.90%,10.50%,7.60%,7.20%,7.10%,6.10%,5.70%,5.60%,4.80%,6.30%,5.00%,4.10%,3.30%,1.50%,1.40%,11.40%,3.40%,20.40%,14.00%,45.50%,82.00%,79.60%,74.00%,21.50%,19.30%,15.20%,6.10%
Fayette County,Kentucky,Male,"157,451","9,075","9,335","9,156","10,866","16,742","12,615","11,644","10,918","10,928","8,760","9,274","7,165","9,838","6,863","6,463","4,480","1,750","1,579","18,491","5,617","33,183","21,991","73,713","128,219","124,268","115,450","30,973","27,996","21,135","7,809"
Fayette County,Kentucky,Percent Male,(X),5.80%,5.90%,5.80%,6.90%,10.60%,8.00%,7.40%,6.90%,6.90%,5.60%,5.90%,4.60%,6.20%,4.40%,4.10%,2.80%,1.10%,1.00%,11.70%,3.60%,21.10%,14.00%,46.80%,81.40%,78.90%,73.30%,19.70%,17.80%,13.40%,5.00%
Fayette County,Kentucky,Female,"162,896","8,621","8,823","9,271","11,312","17,052","11,836","11,400","11,813","8,558","9,430","8,640","8,301","10,192","9,154","6,727","5,933","2,919","2,914","18,094","5,412","32,127","22,952","71,971","134,483","130,769","121,485","37,839","33,905","27,647","11,766"
Fayette County,Kentucky,Percent Female,(X),5.30%,5.40%,5.70%,6.90%,10.50%,7.30%,7.00%,7.30%,5.30%,5.80%,5.30%,5.10%,6.30%,5.60%,4.10%,3.60%,1.80%,1.80%,11.10%,3.30%,19.70%,14.10%,44.20%,82.60%,80.30%,74.60%,23.20%,20.80%,17.00%,7.20%
Hardin County,Kentucky,Total,"111,862","6,496","7,472","8,393","6,953","8,148","6,498","6,577","7,187","8,348","7,062","7,228","6,573","7,590","5,387","5,587","2,463","1,603","2,297","15,865","5,106","27,467","9,995","43,711","87,664","84,395","80,681","24,927","21,990","17,337","6,363"
Hardin County,Kentucky,Percent,(X),5.80%,6.70%,7.50%,6.20%,7.30%,5.80%,5.90%,6.40%,7.50%,6.30%,6.50%,5.90%,6.80%,4.80%,5.00%,2.20%,1.40%,2.10%,14.20%,4.60%,24.60%,8.90%,39.10%,78.40%,75.40%,72.10%,22.30%,19.70%,15.50%,5.70%
Hardin County,Kentucky,Male,"55,684","3,417","3,412","5,074","2,869","4,730","3,444","3,496","3,761","3,600","3,710","3,786","2,897","4,009","2,602","2,328",960,889,700,"8,486","1,920","13,823","5,679","21,900","42,947","41,861","39,972","11,488","10,042","7,479","2,549"
Hardin County,Kentucky,Percent Male,(X),6.10%,6.10%,9.10%,5.20%,8.50%,6.20%,6.30%,6.80%,6.50%,6.70%,6.80%,5.20%,7.20%,4.70%,4.20%,1.70%,1.60%,1.30%,15.20%,3.40%,24.80%,10.20%,39.30%,77.10%,75.20%,71.80%,20.60%,18.00%,13.40%,4.60%
Hardin County,Kentucky,Female,"56,178","3,079","4,060","3,319","4,084","3,418","3,054","3,081","3,426","4,748","3,352","3,442","3,676","3,581","2,785","3,259","1,503",714,"1,597","7,379","3,186","13,644","4,316","21,811","44,717","42,534","40,709","13,439","11,948","9,858","3,814"
Hardin County,Kentucky,Percent Female,(X),5.50%,7.20%,5.90%,7.30%,6.10%,5.40%,5.50%,6.10%,8.50%,6.00%,6.10%,6.50%,6.40%,5.00%,5.80%,2.70%,1.30%,2.80%,13.10%,5.70%,24.30%,7.70%,38.80%,79.60%,75.70%,72.50%,23.90%,21.30%,17.50%,6.80%
Jefferson County,Kentucky,Total,"773,399","46,380","45,120","48,082","45,776","49,413","55,092","57,502","51,603","49,043","44,415","46,625","45,029","53,114","45,758","36,203","25,513","13,901","14,830","93,202","29,264","168,846","65,925","308,429","623,079","604,553","578,271","189,319","167,972","136,205","54,244"
Jefferson County,Kentucky,Percent,(X),6.00%,5.80%,6.20%,5.90%,6.40%,7.10%,7.40%,6.70%,6.30%,5.70%,6.00%,5.80%,6.90%,5.90%,4.70%,3.30%,1.80%,1.90%,12.10%,3.80%,21.80%,8.50%,39.90%,80.60%,78.20%,74.80%,24.50%,21.70%,17.60%,7.00%
Jefferson County,Kentucky,Male,"376,659","23,589","23,430","24,391","23,335","24,670","27,785","28,389","26,519","23,676","21,849","22,756","22,986","24,148","22,471","14,921","10,878","5,544","5,322","47,821","15,017","86,427","32,988","154,374","299,669","290,232","277,163","83,284","73,763","59,136","21,744"
Jefferson County,Kentucky,Percent Male,(X),6.30%,6.20%,6.50%,6.20%,6.50%,7.40%,7.50%,7.00%,6.30%,5.80%,6.00%,6.10%,6.40%,6.00%,4.00%,2.90%,1.50%,1.40%,12.70%,4.00%,22.90%,8.80%,41.00%,79.60%,77.10%,73.60%,22.10%,19.60%,15.70%,5.80%
Jefferson County,Kentucky,Female,"396,740","22,791","21,690","23,691","22,441","24,743","27,307","29,113","25,084","25,367","22,566","23,869","22,043","28,966","23,287","21,282","14,635","8,357","9,508","45,381","14,247","82,419","32,937","154,055","323,410","314,321","301,108","106,035","94,209","77,069","32,500"
Jefferson County,Kentucky,Percent Female,(X),5.70%,5.50%,6.00%,5.70%,6.20%,6.90%,7.30%,6.30%,6.40%,5.70%,6.00%,5.60%,7.30%,5.90%,5.40%,3.70%,2.10%,2.40%,11.40%,3.60%,20.80%,8.30%,38.80%,81.50%,79.20%,75.90%,26.70%,23.70%,19.40%,8.20%
Kenton County,Kentucky,Total,"170,313","9,414","10,582","11,271","11,032","11,111","12,520","12,245","12,886","9,589","9,936","10,621","10,977","10,673","9,546","7,598","4,755","3,002","2,555","21,853","7,699","38,966","14,444","69,383","136,508","131,347","125,698","38,129","34,286","27,456","10,312"
Kenton County,Kentucky,Percent,(X),5.50%,6.20%,6.60%,6.50%,6.50%,7.40%,7.20%,7.60%,5.60%,5.80%,6.20%,6.40%,6.30%,5.60%,4.50%,2.80%,1.80%,1.50%,12.80%,4.50%,22.90%,8.50%,40.70%,80.20%,77.10%,73.80%,22.40%,20.10%,16.10%,6.10%
Kenton County,Kentucky,Male,"85,619","5,067","6,391","5,419","5,459","5,814","6,301","6,137","7,295","4,122","5,096","5,471","5,406","4,919","4,506","3,841","2,360",889,"1,126","11,810","3,737","20,614","7,536","35,128","67,324","65,005","61,683","17,641","16,214","12,722","4,375"
Kenton County,Kentucky,Percent Male,(X),5.90%,7.50%,6.30%,6.40%,6.80%,7.40%,7.20%,8.50%,4.80%,6.00%,6.40%,6.30%,5.70%,5.30%,4.50%,2.80%,1.00%,1.30%,13.80%,4.40%,24.10%,8.80%,41.00%,78.60%,75.90%,72.00%,20.60%,18.90%,14.90%,5.10%
Kenton County,Kentucky,Female,"84,694","4,347","4,191","5,852","5,573","5,297","6,219","6,108","5,591","5,467","4,840","5,150","5,571","5,754","5,040","3,757","2,395","2,113","1,429","10,043","3,962","18,352","6,908","34,255","69,184","66,342","64,015","20,488","18,072","14,734","5,937"
Kenton County,Kentucky,Percent Female,(X),5.10%,4.90%,6.90%,6.60%,6.30%,7.30%,7.20%,6.60%,6.50%,5.70%,6.10%,6.60%,6.80%,6.00%,4.40%,2.80%,2.50%,1.70%,11.90%,4.70%,21.70%,8.20%,40.40%,81.70%,78.30%,75.60%,24.20%,21.30%,17.40%,7.00%
McCracken County,Kentucky,Total,"67,490","3,519","3,401","5,830","4,350","3,477","3,286","4,636","1,935","5,432","4,448","4,039","3,750","5,175","3,851","4,708","1,925","1,638","2,090","9,231","2,164","14,914","5,663","23,116","53,993","52,576","49,608","19,387","16,835","14,212","5,653"
McCracken County,Kentucky,Percent,(X),5.20%,5.00%,8.60%,6.40%,5.20%,4.90%,6.90%,2.90%,8.00%,6.60%,6.00%,5.60%,7.70%,5.70%,7.00%,2.90%,2.40%,3.10%,13.70%,3.20%,22.10%,8.40%,34.30%,80.00%,77.90%,73.50%,28.70%,24.90%,21.10%,8.40%
McCracken County,Kentucky,Male,"33,273","2,148","1,837","3,116","2,666","1,574","1,616","1,864",886,"2,872","2,146","2,222","1,792","2,410","2,086","1,836",781,773,648,"4,953","1,186","8,287","3,054","11,478","25,737","24,986","23,191","8,534","7,092","6,124","2,202"
McCracken County,Kentucky,Percent Male,(X),6.50%,5.50%,9.40%,8.00%,4.70%,4.90%,5.60%,2.70%,8.60%,6.40%,6.70%,5.40%,7.20%,6.30%,5.50%,2.30%,2.30%,1.90%,14.90%,3.60%,24.90%,9.20%,34.50%,77.40%,75.10%,69.70%,25.60%,21.30%,18.40%,6.60%
McCracken County,Kentucky,Female,"34,217","1,371","1,564","2,714","1,684","1,903","1,670","2,772","1,049","2,560","2,302","1,817","1,958","2,765","1,765","2,872","1,144",865,"1,442","4,278",978,"6,627","2,609","11,638","28,256","27,590","26,417","10,853","9,743","8,088","3,451"
McCracken County,Kentucky,Percent Female,(X),4.00%,4.60%,7.90%,4.90%,5.60%,4.90%,8.10%,3.10%,7.50%,6.70%,5.30%,5.70%,8.10%,5.20%,8.40%,3.30%,2.50%,4.20%,12.50%,2.90%,19.40%,7.60%,34.00%,82.60%,80.60%,77.20%,31.70%,28.50%,23.60%,10.10%
Madison County,Kentucky,Total,"95,187","5,519","4,599","5,785","7,520","11,151","7,069","6,364","5,023","6,148","5,668","5,667","5,215","5,791","5,107","3,189","3,150","1,252",970,"10,384","3,223","19,126","15,448","43,275","78,212","76,061","69,932","19,459","16,775","13,668","5,372"
Madison County,Kentucky,Percent,(X),5.80%,4.80%,6.10%,7.90%,11.70%,7.40%,6.70%,5.30%,6.50%,6.00%,6.00%,5.50%,6.10%,5.40%,3.40%,3.30%,1.30%,1.00%,10.90%,3.40%,20.10%,16.20%,45.50%,82.20%,79.90%,73.50%,20.40%,17.60%,14.40%,5.60%
Madison County,Kentucky,Male,"47,236","2,664","2,383","3,054","3,540","5,352","3,898","3,411","3,095","2,506","2,973","2,941","2,760","2,670","2,242","1,550","1,546",298,353,"5,437","1,772","9,873","7,120","21,802","38,510","37,363","34,619","8,659","7,296","5,989","2,197"
Madison County,Kentucky,Percent Male,(X),5.60%,5.00%,6.50%,7.50%,11.30%,8.30%,7.20%,6.60%,5.30%,6.30%,6.20%,5.80%,5.70%,4.70%,3.30%,3.30%,0.60%,0.70%,11.50%,3.80%,20.90%,15.10%,46.20%,81.50%,79.10%,73.30%,18.30%,15.40%,12.70%,4.70%
Madison County,Kentucky,Female,"47,951","2,855","2,216","2,731","3,980","5,799","3,171","2,953","1,928","3,642","2,695","2,726","2,455","3,121","2,865","1,639","1,604",954,617,"4,947","1,451","9,253","8,328","21,473","39,702","38,698","35,313","10,800","9,479","7,679","3,175"
Madison County,Kentucky,Percent Female,(X),6.00%,4.60%,5.70%,8.30%,12.10%,6.60%,6.20%,4.00%,7.60%,5.60%,5.70%,5.10%,6.50%,6.00%,3.40%,3.30%,2.00%,1.30%,10.30%,3.00%,19.30%,17.40%,44.80%,82.80%,80.70%,73.60%,22.50%,19.80%,16.00%,6.60%
Oldham County,Kentucky,Total,"69,431","3,245","5,469","4,831","4,422","3,565","4,155","3,882","4,854","5,193","4,853","5,736","4,551","4,161","4,235","2,452","2,239",823,765,"10,300","3,199","16,744","4,788","26,071","54,895","52,687","50,875","14,675","13,128","10,514","3,827"
Oldham County,Kentucky,Percent,(X),4.70%,7.90%,7.00%,6.40%,5.10%,6.00%,5.60%,7.00%,7.50%,7.00%,8.30%,6.60%,6.00%,6.10%,3.50%,3.20%,1.20%,1.10%,14.80%,4.60%,24.10%,6.90%,37.50%,79.10%,75.90%,73.30%,21.10%,18.90%,15.10%,5.50%
Oldham County,Kentucky,Male,"36,581","1,771","2,724","2,300","2,394","1,523","2,917","2,339","2,234","3,015","2,596","3,269","2,399","1,956","2,217","1,213","1,115",412,187,"5,024","1,570","8,365","2,347","14,422","29,468","28,216","27,266","7,100","6,332","5,144","1,714"
Oldham County,Kentucky,Percent Male,(X),4.80%,7.40%,6.30%,6.50%,4.20%,8.00%,6.40%,6.10%,8.20%,7.10%,8.90%,6.60%,5.30%,6.10%,3.30%,3.00%,1.10%,0.50%,13.70%,4.30%,22.90%,6.40%,39.40%,80.60%,77.10%,74.50%,19.40%,17.30%,14.10%,4.70%
Oldham County,Kentucky,Female,"32,850","1,474","2,745","2,531","2,028","2,042","1,238","1,543","2,620","2,178","2,257","2,467","2,152","2,205","2,018","1,239","1,124",411,578,"5,276","1,629","8,379","2,441","11,649","25,427","24,471","23,609","7,575","6,796","5,370","2,113"
Oldham County,Kentucky,Percent Female,(X),4.50%,8.40%,7.70%,6.20%,6.20%,3.80%,4.70%,8.00%,6.60%,6.90%,7.50%,6.60%,6.70%,6.10%,3.80%,3.40%,1.30%,1.80%,16.10%,5.00%,25.50%,7.40%,35.50%,77.40%,74.50%,71.90%,23.10%,20.70%,16.30%,6.40%
Pulaski County,Kentucky,Total,"65,795","3,751","3,699","4,102","3,957","3,585","3,801","3,973","3,095","4,934","4,138","4,414","5,008","4,641","4,318","3,205","2,185","1,582","1,407","7,801","2,757","14,309","4,785","23,345","53,535","51,486","49,453","17,338","15,388","12,697","5,174"
Pulaski County,Kentucky,Percent,(X),5.70%,5.60%,6.20%,6.00%,5.40%,5.80%,6.00%,4.70%,7.50%,6.30%,6.70%,7.60%,7.10%,6.60%,4.90%,3.30%,2.40%,2.10%,11.90%,4.20%,21.70%,7.30%,35.50%,81.40%,78.30%,75.20%,26.40%,23.40%,19.30%,7.90%
Pulaski County,Kentucky,Male,"32,124","2,030","1,511","2,532","2,016","1,891","1,959","1,978","1,256","2,348","1,915","2,260","1,838","2,899","2,062","1,492",841,814,482,"4,043","1,399","7,472","2,508","11,448","25,699","24,652","23,652","8,590","7,366","5,691","2,137"
Pulaski County,Kentucky,Percent Male,(X),6.30%,4.70%,7.90%,6.30%,5.90%,6.10%,6.20%,3.90%,7.30%,6.00%,7.00%,5.70%,9.00%,6.40%,4.60%,2.60%,2.50%,1.50%,12.60%,4.40%,23.30%,7.80%,35.60%,80.00%,76.70%,73.60%,26.70%,22.90%,17.70%,6.70%
Pulaski County,Kentucky,Female,"33,671","1,721","2,188","1,570","1,941","1,694","1,842","1,995","1,839","2,586","2,223","2,154","3,170","1,742","2,256","1,713","1,344",768,925,"3,758","1,358","6,837","2,277","11,897","27,836","26,834","25,801","8,748","8,022","7,006","3,037"
Pulaski County,Kentucky,Percent Female,(X),5.10%,6.50%,4.70%,5.80%,5.00%,5.50%,5.90%,5.50%,7.70%,6.60%,6.40%,9.40%,5.20%,6.70%,5.10%,4.00%,2.30%,2.70%,11.20%,4.00%,20.30%,6.80%,35.30%,82.70%,79.70%,76.60%,26.00%,23.80%,20.80%,9.00%
Warren County,Kentucky,Total,"139,843","9,350","10,026","7,011","11,422","15,610","9,248","10,226","8,735","8,133","7,402","9,144","7,407","7,275","5,739","5,714","3,108","1,818","2,475","17,037","5,951","32,338","21,081","63,374","111,399","107,505","98,899","26,129","23,211","18,854","7,401"
Warren County,Kentucky,Percent,(X),6.70%,7.20%,5.00%,8.20%,11.20%,6.60%,7.30%,6.20%,5.80%,5.30%,6.50%,5.30%,5.20%,4.10%,4.10%,2.20%,1.30%,1.80%,12.20%,4.30%,23.10%,15.10%,45.30%,79.70%,76.90%,70.70%,18.70%,16.60%,13.50%,5.30%
Warren County,Kentucky,Male,"69,302","5,293","4,970","3,521","5,729","7,722","4,878","4,809","4,632","3,516","3,914","4,696","3,714","3,401","2,078","3,271","1,340",872,946,"8,491","2,885","16,669","10,566","31,286","54,051","52,633","47,356","11,908","10,390","8,507","3,158"
Warren County,Kentucky,Percent Male,(X),7.60%,7.20%,5.10%,8.30%,11.10%,7.00%,6.90%,6.70%,5.10%,5.60%,6.80%,5.40%,4.90%,3.00%,4.70%,1.90%,1.30%,1.40%,12.30%,4.20%,24.10%,15.20%,45.10%,78.00%,75.90%,68.30%,17.20%,15.00%,12.30%,4.60%
Warren County,Kentucky,Female,"70,541","4,057","5,056","3,490","5,693","7,888","4,370","5,417","4,103","4,617","3,488","4,448","3,693","3,874","3,661","2,443","1,768",946,"1,529","8,546","3,066","15,669","10,515","32,088","57,348","54,872","51,543","14,221","12,821","10,347","4,243"
Warren County,Kentucky,Percent Female,(X),5.80%,7.20%,4.90%,8.10%,11.20%,6.20%,7.70%,5.80%,6.50%,4.90%,6.30%,5.20%,5.50%,5.20%,3.50%,2.50%,1.30%,2.20%,12.10%,4.30%,22.20%,14.90%,45.50%,81.30%,77.80%,73.10%,20.20%,18.20%,14.70%,6.00%
